en,es
"As strange as it may sound, what Tom said is true.","Por más extraño que pueda sonar, lo que Tom dijo es verdad."
I love my parents.,Amo a mis padres.
He was angry because of what she said.,Él se enfadó por lo que ella dijo.
He grew up in Australia.,Él creció en Australia.
Do you know how to drive?,¿Sabéis conducir?
Everything has a purpose.,Todo tiene un propósito.
Tom will change.,Tom va a cambiar.
The dog's collar is red.,El collar del perro es rojo.
Do you have a computer at home?,¿Tienes un computador en casa?
May God's will be done.,Que sea lo que Dios quiera.
"This watch cost 70,000 yen.",Este reloj costó 70.000 yenes.
Is she sleeping?,¿Está durmiendo?
It was very difficult.,Era dificilísimo.
Is that the way to answer?,¿Qué manera es esa de contestar?
I don't understand the questions that the teacher asks.,Yo no entiendo las preguntas que el profesor hace.
Do you suffer from seasonal allergies?,¿Sufre de alergias estacionales?
They ruined my life.,Me arruinaron la vida.
Who's on your list?,¿Quién está en tu lista?
"He looked around, but he saw no one.","Miró a su alrededor, pero no vio a nadie."
I'll miss you very much.,Os echaré mucho de menos.
I get goose bumps when I see a horror movie.,Cuando veo una película de terror se me pone la carne de gallina.
We're not fighting.,No estamos peleando.
Why are you dancing?,¿Por qué estáis bailando?
Tom decided it was time to go to sleep.,Tom decidió que era hora de irse a dormir.
Nobody appreciated his sacrifice.,Nadie apreció su sacrificio.
I study French at school.,Estudio francés en la escuela.
It is not his business.,No es asunto suyo.
This one is special.,Este es especial.
I don't want the money.,No quiero el dinero.
Tom never loses his cool.,Tom jamás pierde la calma.
Do you have a girlfriend?,¿Tienes una amiga?
Who will outwit whom?,¿Quién se burlará de quien?
He taught his son how to swim.,Enseñó a su hijo a nadar.
I'll be there shortly.,Estaré allí en breve.
The law was changed.,La ley fue alterada.
Tom got in his car.,Tom subió a su carro.
My house is designed to withstand an earthquake.,Mi casa está diseñada para resistir un terremoto.
Tom has been talking on the phone for an hour.,Tom ha estado hablando por teléfono durante una hora.
Have you finished eating your lunch?,¿Terminaron de comer su almuerzo?
His car collided with a train.,Su auto chocó contra un tren.
Tom found the treasure at the bottom of the lake.,Tom encontró el tesoro en el fondo del lago.
Do you really think that Tom won't come?,¿De verdad piensas que Tom no vendrá?
The job is half done.,El trabajo está a medio hacer.
I know several Canadians.,Conozco a varios canadienses.
The eagle is about to land.,El águila está a punto de aterrizar.
Tom looked through the menu.,Tom ojeó el menú.
Tom is ill.,Tom está malo.
I'll keep it a secret. Don't worry.,Lo mantendré en secreto. No te preocupes.
Give me five days.,Denme cinco días.
I think we both know who's really to blame.,Creo que ambos sabemos de quién es en realidad la culpa.
I am not writing a letter.,No estoy escribiendo una carta.
They don't want you to know.,Ellos no quieren que sepas.
Is Tom trying to ruin our evening?,¿Estará Tom tratando de arruinar nuestra noche?
I stopped smoking.,Dejé de fumar.
He observed many types of creatures there.,Él observó muchos tipos de criaturas allí.
I want a pair of gloves.,Quiero un par de guantes.
Weren't you angry?,¿No estabas enojado?
They are not tired.,Ellos no están cansados.
She called him to say that she'd be late.,Ella lo llamó para decirle que llegaría tarde.
That was close.,Estuvo cerca.
She betrayed you.,Ella les traicionó.
Maybe you did it wrong.,Quizá lo hiciste mal.
You just made my weekend.,Me alegraste el fin de semana.
I know how to solve the problem.,Sé cómo resolver el problema.
This story is far more interesting than that one.,Esta historia es lejos más interesante que aquella.
Do you want it or not?,¿Lo quieres o no?
My friend remembered which way to go.,Mi amigo recordó que camino había que tomar.
"My uncle lived in Washington, D. C. for two years.",Mi tío vivió en Washington durante dos años.
You're either with us or against us.,O estás con nosotros o contra nosotros.
There were two children playing on the street.,Dos niños jugaban en la calle.
Tom can't help you now.,Tom no puede ayudarte ahora.
Tom takes a pill with vitamins and minerals every day.,Tom se toma una pastilla con vitaminas y minerales todos los días.
They stayed married for the sake of their children.,Siguieron casados por sus hijos.
Tom made some bad investments.,Tom hizo algunas malas inversiones.
I want to eat some grapes.,Quiero comerme unas uvas.
We had a lot of furniture.,Teníamos muchos muebles.
He made a mistake and drank poison.,Él cometió un error y bebió veneno.
The airplane landed at Narita Airport.,El avión aterrizó en el aeropuerto de Narita.
Tom looks nervous.,Tomás parece nervioso.
Tom still thinks we're friends.,Tom todavía cree que somos amigos.
She left her umbrella in the train.,Ella dejó su paraguas en el tren.
I cannot help you.,No puedo ayudarte.
Don't you want to come along?,¿No quieres venir conmigo?
We sometimes swim in the lake.,A veces nadamos en el lago.
I've figured out the puzzle.,He entendido el rompecabezas.
Tom needs time to think it over.,Tom necesita tiempo para meditarlo.
I love music as well as sports.,Me gustan la música y los deportes.
Everybody plays the game of love.,Todos juegan el juego del amor.
Search me.,A mí que me registren.
Tom is seeking a job.,Tom está buscando un empleo.
Tom is a good French speaker.,Tom habla bien francés.
Jonas Salk developed the polio vaccine in 1952.,Jonas Salk desarrolló la vacuna contra la polio en 1952.
"In 1994, there was a shortage of water and rice in Japan.",En 1994 hubo escasez de agua y arroz en Japón.
Wait a second.,Aguarda un segundo.
I plan on finishing that in two or three minutes.,Planeo terminar eso en dos o tres minutos.
I'm curious to know why they removed my name from the list.,Tengo curiosidad de saber por qué quitaron mi nombre de la lista.
Tom has been absent from school for three days.,Tom se ha ausentado de la escuela por tres días.
Many students have failed the test.,Muchos estudiantes han fallado la prueba.
Adolescence is often a period of insecurity.,La adolescencia es usualmente un periodo de inseguridad.
I am eating noodles.,Estoy comiendo fideos.
Tom found a good job near his house.,Tom encontró un buen trabajo cerca de su casa.
The woman you were talking to at that time was my sister.,"La mujer, a la que le estabas hablando aquella vez, era mi hermana."
You are correct in thinking so.,Estás en lo correcto al pensar así.
You've got a big problem.,Te has metido en un gran lío.
Tom is a very perceptive man.,Tom es un hombre muy perceptivo.
There were several framed pictures on the wall.,Había varias fotografías enmarcadas en la pared.
Until what time does your pharmacy stay open?,¿Hasta qué hora permanece abierta su farmacia?
All Tom wanted was for Mary to love him as much as he loved her.,Todo lo que Tom quería era que Mary lo amara tanto como él la amaba.
It is windy today.,Hoy hace viento.
This is not what we want.,Esto no es lo que queremos.
Bees provide us with honey.,Las abejas nos dan miel.
Someone deleted my comment.,Alguien borró mi comentario.
He explained the literal meaning of the sentence.,Él explicó el sentido literal de la frase.
We must learn to walk before we can run.,Tenemos que aprender a andar antes de poder correr.
I woke up with a stiff neck.,Me levanté con el cuello rígido.
This cheese is made from goat's milk.,Este queso está hecho de leche de cabra.
This one is as good as that one.,Éste es tan bueno como ése.
It was so hot in the stadium that I thought I was going to pass out.,Hacía tanto calor en el estadio que pensé que iba a desmayarme.
I would go if I were you.,"Si yo fuera tú, iría."
Tom was shocked.,Tom estaba pasmado.
Tom didn't eat breakfast this morning.,Tom no desayunó esta mañana.
"She visits the dentist on a regular basis, so she seldom gets toothaches.","Ella visita al dentista de manera regular, así que rara vez tiene dolor de muelas."
I regret that I did not work harder.,Me arrepiento de no haber trabajado más duro.
He couldn't control the horse.,No podía contener el caballo.
I would rather throw the money away than give it to him.,Preferiría regalar el dinero que dárselo a él.
I did not participate in the dialog.,No participé en el diálogo.
Can I help you?,¿Te puedo ayudar?
Tom joined us.,Se nos unió Tom.
"Just as he was getting the hang of things, he got fired.","Justo cuando él había empezado a agarrarle el hilo, fue despedido."
"I'm not a doctor, but a teacher.","No soy médico, sino profesor."
Tom managed to convince a lot of people that he had paranormal powers.,Tom logró convencer a mucha gente de que tiene habilidades paranormales.
That's Tom's office.,Esa es la oficina de Tom.
All inventions grow out of necessity.,Todas las invenciones surgen de la necesidad.
I am glad to run into you here.,Me alegro de haberme topado contigo aquí.
I put the gifts in the attic.,Puse los regalos en el desván.
Christopher Columbus discovered America.,Cristóbal Colón descubrió América.
They spend a lot of time together.,Ellos pasan mucho tiempo juntos.
You will miss the train.,Se te escapará el tren.
I am accustomed to staying up late.,Yo estoy acostumbrado a quedarme despierto hasta tarde.
I am now in a delicate position.,Ahora estoy en una posición delicada.
"If you want to go, we'll go.","Si tú quieres ir, iremos."
They just wanted to be left alone.,Ellos solo querían que los dejaran solos.
My father has been dead for three years.,Mi padre murió hace tres años.
Seven is a lucky number.,El siete es un número de la suerte.
"To tell the truth, I don't like his way of living.","A decir verdad, no me agrada su manera de vivir."
"I tried twice, but neither try worked.","Traté dos veces, pero ninguna funcionó."
I must get a new suit made.,Debo encargar un nuevo traje a medida.
You must tighten the knot.,Debes apretar el nudo.
They live in the suburbs.,Viven en las afueras de la ciudad.
They earn their living by collecting and selling old newspapers.,Ellos se ganan la vida recogiendo y vendiendo periódicos viejos.
The castle is on the other side of the river.,El castillo está al otro lado del río.
"Excuse me, but could you tell me how to get to Central Park?","Perdone, ¿podría decirme cómo llegar a Central Park?"
"Wait in line, please.","Espere en línea, por favor."
I'm looking for the same thing you are.,Estoy buscando lo mismo que tú.
He doesn't understand the risks.,Él no comprende los riesgos.
Have you eaten?,¿Ya comiste?
Those two make a fine pair.,Esos dos hacen buena pareja.
Tom is the person to ask.,Tom es la persona a preguntar.
Your lipstick's smeared.,Tu barra de labios se ha corrido.
It lasted for twenty years.,Duró veinte años.
These are my pants.,Éstos son mis pantalones.
Was it cold yesterday?,¿Hizo frío ayer?
Tom wanted money.,Tom quería dinero.
Tom's arm had to be amputated.,A Tom le tuvieron que amputar el brazo.
I've already done everything you've asked me to do.,Ya he hecho todo lo que me pediste que hiciera.
Tom eats too much junk food.,Tom come demasiada comida chatarra.
I got on the wrong bus.,Me subí al bus equivocado.
What time do you finish school?,¿A qué hora sales de clases?
Why did Tom do it?,¿Por qué lo hizo Tom?
Tom was born in Boston.,Tom nació en Boston.
Tom isn't religious.,Tom no es religioso.
He never speaks of the accident.,Él nunca habla del accidente.
What's in the bottle?,¿Qué hay en la botella?
